plant,P_chip_EUR_per_tDM,GM_base_EUR_per_yr,GM_withC_EUR_per_yr
j1,18.89,30120,167421
j1,24.17,17497,154798
j1,29.44,4874,142175
j1,34.72,-7749,129552
j1,40.00,-20372,116929
j1,45.27,-32995,104306
j1,50.55,-45618,91682
j1,55.83,-58241,79059
j1,61.11,-70864,66436
j1,66.38,-83488,53813
j1,71.66,-96111,41190
j1,76.94,-108734,28567
j1,82.21,-121357,15944
j1,87.49,-133980,3321
j1,92.77,-146603,-9302
j1,98.05,-159226,-21925
j1,103.32,-171849,-34548
j1,108.60,-184472,-47171
j1,113.88,-197095,-59794
j1,119.15,-209718,-72417
j1,124.43,-222341,-85040
