price_eur_per_t,dist_km,profit_eur
200,0,700.00
200,10,580.00
200,20,460.00
200,30,340.00
200,40,220.00
200,50,100.00
200,60,-20.00
200,70,-140.00
200,80,-260.00
200,90,-380.00
200,100,-500.00
200,110,-620.00
200,120,-740.00
200,130,-860.00
200,140,-980.00
200,150,-1100.00
200,160,-1220.00
200,170,-1340.00
200,180,-1460.00
200,190,-1580.00
200,200,-1700.00
250,0,5700.00
250,10,5580.00
250,20,5460.00
250,30,5340.00
250,40,5220.00
250,50,5100.00
250,60,4980.00
250,70,4860.00
250,80,4740.00
250,90,4620.00
250,100,4500.00
250,110,4380.00
250,120,4260.00
250,130,4140.00
250,140,4020.00
250,150,3900.00
250,160,3780.00
250,170,3660.00
250,180,3540.00
250,190,3420.00
250,200,3300.00
300,0,10700.00
300,10,10580.00
300,20,10460.00
300,30,10340.00
300,40,10220.00
300,50,10100.00
300,60,9980.00
300,70,9860.00
300,80,9740.00
300,90,9620.00
300,100,9500.00
300,110,9380.00
300,120,9260.00
300,130,9140.00
300,140,9020.00
300,150,8900.00
300,160,8780.00
300,170,8660.00
300,180,8540.00
300,190,8420.00
300,200,8300.00
350,0,15700.00
350,10,15580.00
350,20,15460.00
350,30,15340.00
350,40,15220.00
350,50,15100.00
350,60,14980.00
350,70,14860.00
350,80,14740.00
350,90,14620.00
350,100,14500.00
350,110,14380.00
350,120,14260.00
350,130,14140.00
350,140,14020.00
350,150,13900.00
350,160,13780.00
350,170,13660.00
350,180,13540.00
350,190,13420.00
350,200,13300.00
400,0,20700.00
400,10,20580.00
400,20,20460.00
400,30,20340.00
400,40,20220.00
400,50,20100.00
400,60,19980.00
400,70,19860.00
400,80,19740.00
400,90,19620.00
400,100,19500.00
400,110,19380.00
400,120,19260.00
400,130,19140.00
400,140,19020.00
400,150,18900.00
400,160,18780.00
400,170,18660.00
400,180,18540.00
400,190,18420.00
400,200,18300.00
450,0,25700.00
450,10,25580.00
450,20,25460.00
450,30,25340.00
450,40,25220.00
450,50,25100.00
450,60,24980.00
450,70,24860.00
450,80,24740.00
450,90,24620.00
450,100,24500.00
450,110,24380.00
450,120,24260.00
450,130,24140.00
450,140,24020.00
450,150,23900.00
450,160,23780.00
450,170,23660.00
450,180,23540.00
450,190,23420.00
450,200,23300.00
500,0,30700.00
500,10,30580.00
500,20,30460.00
500,30,30340.00
500,40,30220.00
500,50,30100.00
500,60,29980.00
500,70,29860.00
500,80,29740.00
500,90,29620.00
500,100,29500.00
500,110,29380.00
500,120,29260.00
500,130,29140.00
500,140,29020.00
500,150,28900.00
500,160,28780.00
500,170,28660.00
500,180,28540.00
500,190,28420.00
500,200,28300.00
550,0,35700.00
550,10,35580.00
550,20,35460.00
550,30,35340.00
550,40,35220.00
550,50,35100.00
550,60,34980.00
550,70,34860.00
550,80,34740.00
550,90,34620.00
550,100,34500.00
550,110,34380.00
550,120,34260.00
550,130,34140.00
550,140,34020.00
550,150,33900.00
550,160,33780.00
550,170,33660.00
550,180,33540.00
550,190,33420.00
550,200,33300.00
600,0,40700.00
600,10,40580.00
600,20,40460.00
600,30,40340.00
600,40,40220.00
600,50,40100.00
600,60,39980.00
600,70,39860.00
600,80,39740.00
600,90,39620.00
600,100,39500.00
600,110,39380.00
600,120,39260.00
600,130,39140.00
600,140,39020.00
600,150,38900.00
600,160,38780.00
600,170,38660.00
600,180,38540.00
600,190,38420.00
600,200,38300.00
650,0,45700.00
650,10,45580.00
650,20,45460.00
650,30,45340.00
650,40,45220.00
650,50,45100.00
650,60,44980.00
650,70,44860.00
650,80,44740.00
650,90,44620.00
650,100,44500.00
650,110,44380.00
650,120,44260.00
650,130,44140.00
650,140,44020.00
650,150,43900.00
650,160,43780.00
650,170,43660.00
650,180,43540.00
650,190,43420.00
650,200,43300.00
700,0,50700.00
700,10,50580.00
700,20,50460.00
700,30,50340.00
700,40,50220.00
700,50,50100.00
700,60,49980.00
700,70,49860.00
700,80,49740.00
700,90,49620.00
700,100,49500.00
700,110,49380.00
700,120,49260.00
700,130,49140.00
700,140,49020.00
700,150,48900.00
700,160,48780.00
700,170,48660.00
700,180,48540.00
700,190,48420.00
700,200,48300.00
750,0,55700.00
750,10,55580.00
750,20,55460.00
750,30,55340.00
750,40,55220.00
750,50,55100.00
750,60,54980.00
750,70,54860.00
750,80,54740.00
750,90,54620.00
750,100,54500.00
750,110,54380.00
750,120,54260.00
750,130,54140.00
750,140,54020.00
750,150,53900.00
750,160,53780.00
750,170,53660.00
750,180,53540.00
750,190,53420.00
750,200,53300.00
800,0,60700.00
800,10,60580.00
800,20,60460.00
800,30,60340.00
800,40,60220.00
800,50,60100.00
800,60,59980.00
800,70,59860.00
800,80,59740.00
800,90,59620.00
800,100,59500.00
800,110,59380.00
800,120,59260.00
800,130,59140.00
800,140,59020.00
800,150,58900.00
800,160,58780.00
800,170,58660.00
800,180,58540.00
800,190,58420.00
800,200,58300.00
